id;title;project_code;icon
1;Usability Lek Small;Technician;Games Lesotho monitor
2;Bacon Horizontal capacitor;HDD Assurance;Card Salad
3;Central dynamic visualize;Afghanistan Granite;Fantastic Principal deposit
4;Developer;Account;infomediaries Savings
5;mindshare;Arizona Generic;Officer Tasty
6;Knolls Mouse;Future Bike deploy;Global
7;card Switchable;Ecuador;Communications
8;Awesome;Nicaragua;Forward
9;Bhutanese white stable;Borders Ergonomic;Arab Liaison synthesize
10;algorithm 24/365;Grocery reintermediate Supervisor;Checking client-server neural
